Date,ABI.BR,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DAI.DE,DBK.DE,DG.PA,DPW.DE,DTE.DE,EI.PA,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FP.PA,G.MI,GLE.PA,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,MUV2.DE,NOKIA.PA,OR.PA,ORA.PA,PHIA.AS,REP.MC,RWE.DE,SAN.MC,SAN.PA,SAP.DE,SGO.PA,SIE.DE,SU.PA,TEF.MC,UCG.MI,UL.AS,UN,VIV.PA,VOW3.DE
2/11/2010,1.705765507,0.1151188889,-0.471185212,-0.7450485984,0.3067867293,-0.4081152609,0.4550584248,-1.673264243,-0.5899241332,0.9398217991,-2.649538338,1.032438623,-2.526103065,-2.557243457,-2.15629909,-1.283053189,-2.00081666,-1.058425064,2.265057831,-0.8547008547,-0.3962264151,0.8573116963,-0.1545300526,1.527370554,-1.092884098,-2.388170745,-1.307966706,-2.696491497,-2.960212496,-0.9035437691,-0.3084014392,0,-1.862464183,0.3172059045,-0.6044122091,0.8034026465,-0.3676470588,-0.9051549355,-2.76499364,0.6130248925,-1.953681993,-1.973789303,0.1110552342,-0.3908882493,-1.677530479,-1.913414032,-1.300485231,-0.3735178141,-0.7688989838,-2.97107331
2/12/2010,1.076164859,0.844029957,0.1456664239,0.4325750746,0.1525881163,-0.1614255597,1.626687977,-0.4804210952,-1.661580197,0.9310834791,-1.855674227,-0.2878612385,-0.207325501,-0.945990235,-1.47651432,-1.074278486,-2.541666667,0.7702182285,1.778984491,1.061007958,0.8334911915,1.092902313,0.03880000621,0.1925671052,0.245543263,-3.129652416,0,-0.5196032121,0.3814162577,1.006512729,-1.495235847,0.2777805556,0.1459854015,0.9486178933,0,-0.5157102672,-0.184501845,0.881984604,-1.576302284,0.9329741051,0.626704162,-3.59667395,-1.474554442,-1.907989123,-0.1502098614,-1.642735506,0.6934812904,1.431492843,-0.3877200686,-1.907291716
2/15/2010,-0.4701272124,1.293397858,-1.454545455,0.8107423154,-1.438317779,0.0124402982,-0.01013473812,0.5833504332,-1.206896552,-0.2156487309,0.5567311158,-0.7361460952,1.523545706,-1.38632475,0.2268662127,-0.2145006148,1.325352715,0.1061571125,-0.4051394837,0.0656167979,0,0.06006006006,0.9269495508,0.192196997,1.347207593,0.5641051282,0.395869191,2.15257993,-0.4746539659,0.6682297773,1.125361191,0.6925207564,-1.603498542,0.1696645718,0.2432411067,-1.131003823,0.6161429452,-0.202985553,0.994429165,0.3584286119,0.2874513027,0,0.9816392789,0.3172906695,0.6302339929,1.565783397,-0.929745887,0.1680073925,0.4449030673,-0.41022848
2/16/2010,0.9724867478,3.079636882,1.808118081,1.608443036,2.807954348,1.579400494,1.742656606,0.9999542022,2.635256545,1.03253932,2.789092122,0.8288498374,2.148703956,1.890046978,3.704581934,1.410726857,0.3797468354,0.816542948,0.2905625291,1.37704918,1.164752959,1.260510204,1.607566277,1.93021451,0.1812749354,4.538498099,0.9771986971,-0.06197706848,-1.145337395,404.0759287,0.2846803867,0.2292526301,-2.962962963,-4.651465798,1.273879207,0.5243088656,1.347207593,0.8446572229,1.212660116,0.6766917166,2.404455414,3.268485227,0.7967901642,1.691410845,1.0126522,0.8735930425,0.8342001738,0.9057397151,0.5526782356,1.432890875
2/17/2010,2.559163456,2.064556951,4.965567235,1.385112523,0.2364645646,1.738489226,0.4182413945,0.495078585,0.7141608327,0.891265576,3.963416586,2.033464207,3.87312187,1.303078258,2.108464023,2.358237819,2.311895755,0.4522983065,1.946925484,1.358344114,0.3899795874,0.3556549878,0.5269775456,0.2822935913,1.628468034,2.43902439,1.256366723,5.612403101,4.247400878,-80.10627238,1.535486452,0.4117081314,-0.7633587786,1.462148128,0.8984666068,3.745846373,1.148042365,0.1396072027,1.484950681,0.5974607805,0.6686363138,3.257684314,1.660112153,3.718729072,1.238811388,2.012258816,1.034126142,0.897606383,0.9628499162,4.361589792
2/18/2010,0.1878186209,0.4047157339,1.243093923,0.7196840429,0.3647666494,1.095071025,0.6941729748,0.2463198158,-0.6753300692,1.295639545,2.15053364,0.7349766784,0.5464480874,-4.67614998,1.230257771,0.349464138,0.6573541495,1.120418848,0.21598499,0.8296107211,0.6104291302,0.9450679268,0.3373226608,0.8679310141,0.1187002967,-7.202385714,0.6036217304,1.130358191,-0.9259699506,-1.451631634,1.156431538,0.4555808656,-1.538461538,1.131307744,0.9201603396,1.553930601,1.31421147,0.7590188268,0.8072413161,1.020785059,0.07723509661,1.76435412,1.353100513,3.846161869,1.573772904,-1.023741776,0.2729402878,0.9555156507,-0.1362277633,0.5414781359
2/19/2010,-0.16068827,1.268054531,1.398362892,-0.399663316,0.6412830929,0.1309367901,0.472716171,0.4422248524,3.467611645,1.720934884,1.588520574,-2.006454441,-1.502557545,2.555954832,1.268362174,0.3611505317,0.5714285714,0.9837423631,0.06805580453,0.6329113924,1.342154808,-0.1170275015,0.5603452064,-0.02325116279,-0.1185595662,1.860174566,1,-0.7257947452,1.027806772,414.4944615,-0.06280779052,0.7709732426,-1.25,1.21188447,0.7058882353,-0.6750630367,0.7665153754,-0.4611709033,1.000945556,0.5144203564,1.574313937,-0.3232471444,0.2608005843,1.958566178,0.4015703029,0.1009124703,-0.1360986758,0.5874706458,2.018744214,1.211718654
2/22/2010,-1.877674407,-1.369235721,0.03363605785,0.07296327998,0.3398634017,-0.6181692673,-1.058610118,-1.027314947,-0.5749926261,-1.13169405,1.639033473,-2.391177113,-1.493021746,-2.786374699,-0.2923588386,-0.5269194326,0.08116883117,-0.7895816243,-0.5440988315,0.06289308176,-0.01813860733,-0.2929115407,-0.8542576391,-0.7327354858,0.4747774481,2.065488613,-0.5940594059,1.228249744,-0.1848648349,-80.49702245,0.6662463608,0.7200756205,1.424050633,-0.6710552632,-0.7009403796,1.042134119,-0.5558747806,-0.1853347937,-1.972229583,-1.041857084,-1.170031946,-1.238201724,-0.5204007259,-0.418665189,-0.9143557318,-1.159292959,0.4429260647,-0.4542504867,-0.8023573228,1.862317781
2/23/2010,-0.3827309796,-0.2373753916,1.176866174,-0.9356062842,-2.201448651,-1.279904337,-1.248268253,-3.588727229,-1.883671514,-0.09248930726,-2.446709871,-0.9388294246,-1.94398682,-0.4777070064,-3.307332625,-1.007751912,-1.500405515,-1.788113695,-0.7294278717,-1.00565682,-0.3810524406,-1.703877791,-1.273241825,-1.628585861,-2.303597165,-2.38153998,-2.058432935,-4.665607396,-2.687685901,396.8291251,-1.348653812,0.08936371601,1.092043682,-0.7418174789,-0.9117705882,-2.376677237,-1.29450419,-1.748487635,-4.104707779,-0.1662356883,-0.6303843788,-0.4328358209,-1.830696542,-2.423640351,-2.2492417,-3.875614111,-0.3731262024,-1.140808344,-0.754807413,-0.9304755664
2/24/2010,1.591660307,0.4401234052,-2.060485211,0.6746019953,-1.125666667,-1.478250369,0.3210272873,-1.76376161,-0.6904681478,-0.01157504865,0.5130172808,0.1777047291,0.1344086022,-0.976,0.7575658545,-0.07831375416,-0.6587072869,0.1894338034,1.079221609,1.142857143,0.07285245636,0.5379557681,0.4361871084,-0.4406908051,1.209183724,1.731770952,0,2.424242424,-0.5713750087,1.607377379,-0.3797506329,0.9821410714,0.1543209877,1.454687041,0,-0.3215388149,-1.043219076,-0.2991047446,-1.423319053,-0.2405198934,1.19140341,-0.7495128167,0.5640879169,0.4688809799,0.2947905654,0.5305075778,0.3064330825,0.7912957468,0.7605480863,1.598291673
